irq_pct,irq_norm_pct,softirq_pct,softirq_norm_pct,total_pct,total_norm_pct,steal_pct,steal_norm_pct,cores,iowait_pct,iowait_norm_pct,nice_pct,nice_norm_pct,idle_pct,idle_norm_pct,user_pct,user_norm_pct,system_pct,system_norm_pct,utctimestamp,hostname
0,0,0.0013,0.0013,0.0134,0.0134,0.0,0.0,1,0.0,0.0,0,0,0.9866,0.9866,0.0094,0.0094,0.0027,0.0027,2022-05-05T05:47:54.607851+00:00,VM1
0,0,0.0,0.0,0.0121,0.0121,0.0,0.0,1,0.0,0.0,0,0,0.9879,0.9879,0.0067,0.0067,0.0054,0.0054,2022-05-05T05:48:09.611739+00:00,VM1
0,0,0.0,0.0,0.0133,0.0133,0.0,0.0,1,0.0007,0.0007,0,0,0.986,0.986,0.0087,0.0087,0.0047,0.0047,2022-05-05T05:48:24.615410+00:00,VM1
0,0,0.0007,0.0007,0.0114,0.0114,0.0,0.0,1,0.0007,0.0007,0,0,0.9879,0.9879,0.0087,0.0087,0.002,0.002,2022-05-05T05:48:39.606893+00:00,VM1
0,0,0.0,0.0,0.01,0.01,0.0,0.0,1,0.0007,0.0007,0,0,0.9893,0.9893,0.0074,0.0074,0.0027,0.0027,2022-05-05T05:51:24.602208+00:00,VM1
0,0,0.0,0.0,0.0094,0.0094,0.0,0.0,1,0.0007,0.0007,0,0,0.9899,0.9899,0.0067,0.0067,0.0027,0.0027,2022-05-05T05:51:39.619640+00:00,VM1
0,0,0.0,0.0,0.0094,0.0094,0.0,0.0,1,0.0,0.0,0,0,0.9906,0.9906,0.0074,0.0074,0.002,0.002,2022-05-05T06:17:24.593382+00:00,VM1
0,0,0.0,0.0,0.0107,0.0107,0.0,0.0,1,0.0007,0.0007,0,0,0.9886,0.9886,0.008,0.008,0.0027,0.0027,2022-05-05T06:17:39.571903+00:00,VM1
0,0,0.0,0.0,0.01,0.01,0.0,0.0,1,0.0,0.0,0,0,0.99,0.99,0.008,0.008,0.002,0.002,2022-05-05T06:14:24.569654+00:00,VM1
0,0,0.0,0.0,0.0133,0.0133,0.0007,0.0007,1,0.0007,0.0007,0,0,0.986,0.986,0.01,0.01,0.0027,0.0027,2022-05-05T06:14:39.575701+00:00,VM1
0,0,0.0007,0.0007,0.01,0.01,0.0,0.0,1,0.0007,0.0007,0,0,0.9893,0.9893,0.008,0.008,0.0013,0.0013,2022-05-05T06:16:54.563430+00:00,VM1
0,0,0.0,0.0,0.0114,0.0114,0.0,0.0,1,0.0,0.0,0,0,0.9886,0.9886,0.008,0.008,0.0033,0.0033,2022-05-05T06:17:09.569117+00:00,VM1
0,0,0.0007,0.0007,0.0107,0.0107,0.0,0.0,1,0.0,0.0,0,0,0.9893,0.9893,0.0074,0.0074,0.0027,0.0027,2022-05-05T06:16:24.581399+00:00,VM1
0,0,0.0,0.0,0.0108,0.0108,0.0,0.0,1,0.0007,0.0007,0,0,0.9885,0.9885,0.0081,0.0081,0.0027,0.0027,2022-05-05T06:16:39.568974+00:00,VM1
0,0,0.0007,0.0007,0.012,0.012,0.0,0.0,1,0.0007,0.0007,0,0,0.9873,0.9873,0.0087,0.0087,0.0027,0.0027,2022-05-05T06:15:24.571001+00:00,VM1
0,0,0.0,0.0,0.0107,0.0107,0.0,0.0,1,0.0007,0.0007,0,0,0.9886,0.9886,0.0087,0.0087,0.002,0.002,2022-05-05T06:15:39.572695+00:00,VM1
0,0,0.0,0.0,0.0107,0.0107,0.0,0.0,1,0.0007,0.0007,0,0,0.9886,0.9886,0.0073,0.0073,0.0033,0.0033,2022-05-05T06:14:54.584389+00:00,VM1
0,0,0.0,0.0,0.0135,0.0135,0.0,0.0,1,0.0,0.0,0,0,0.9865,0.9865,0.0101,0.0101,0.0034,0.0034,2022-05-05T06:15:09.585035+00:00,VM1
0,0,0.0,0.0,0.0094,0.0094,0.0,0.0,1,0.0,0.0,0,0,0.9906,0.9906,0.0074,0.0074,0.002,0.002,2022-05-05T06:13:54.570803+00:00,VM1
0,0,0.0007,0.0007,0.0146,0.0146,0.0,0.0,1,0.0007,0.0007,0,0,0.9847,0.9847,0.0113,0.0113,0.0027,0.0027,2022-05-05T06:14:09.568329+00:00,VM1
0,0,0.0,0.0,0.0127,0.0127,0.0,0.0,1,0.0,0.0,0,0,0.9873,0.9873,0.0087,0.0087,0.004,0.004,2022-05-05T06:15:54.567456+00:00,VM1
0,0,0.0,0.0,0.01,0.01,0.0,0.0,1,0.0007,0.0007,0,0,0.9893,0.9893,0.0067,0.0067,0.0033,0.0033,2022-05-05T06:16:09.593014+00:00,VM1
0,0,0.0,0.0,0.01,0.01,0.0,0.0,1,0.0007,0.0007,0,0,0.9893,0.9893,0.0074,0.0074,0.0027,0.0027,2022-05-05T06:17:54.585033+00:00,VM1
0,0,0.0,0.0,0.0107,0.0107,0.0,0.0,1,0.0,0.0,0,0,0.9893,0.9893,0.0087,0.0087,0.002,0.002,2022-05-05T06:18:09.564855+00:00,VM1
0,0,0.0,0.0,0.0187,0.0187,0.0,0.0,1,0.0,0.0,0,0,0.9813,0.9813,0.012,0.012,0.0067,0.0067,2022-05-05T06:49:09.514444+00:00,VM1
0,0,0.0,0.0,0.0121,0.0121,0.0,0.0,1,0.0,0.0,0,0,0.9879,0.9879,0.0094,0.0094,0.0027,0.0027,2022-05-05T06:49:24.520512+00:00,VM1
0,0,0.0007,0.0007,0.0147,0.0147,0.0,0.0,1,0.0013,0.0013,0,0,0.984,0.984,0.0107,0.0107,0.0033,0.0033,2022-05-05T06:49:39.524216+00:00,VM1
0,0,0.0,0.0,0.0101,0.0101,0.0,0.0,1,0.0,0.0,0,0,0.9899,0.9899,0.0074,0.0074,0.0027,0.0027,2022-05-05T06:49:54.516743+00:00,VM1
0,0,0.0,0.0,0.0113,0.0113,0.0,0.0,1,0.0007,0.0007,0,0,0.988,0.988,0.0094,0.0094,0.002,0.002,2022-05-05T06:52:09.534908+00:00,VM1
0,0,0.0,0.0,0.0121,0.0121,0.0,0.0,1,0.0,0.0,0,0,0.9879,0.9879,0.0088,0.0088,0.0034,0.0034,2022-05-05T06:52:24.517522+00:00,VM1
