total_size_free,total_size_used,total_size_total,total_files,count,utctimestamp,hostname
6627117056,14476750848,21103867904,4195100,109,2022-05-05T07:48:20.469646+00:00,VM1
6627092480,14476775424,21103867904,4195100,109,2022-05-05T07:48:35.471927+00:00,VM1
6627141632,14476726272,21103867904,4195100,109,2022-05-05T07:46:20.480905+00:00,VM1
6627141632,14476726272,21103867904,4195100,109,2022-05-05T07:46:35.477578+00:00,VM1
6627092480,14476775424,21103867904,4195100,109,2022-05-05T07:49:20.468144+00:00,VM1
6627100672,14476767232,21103867904,4195100,109,2022-05-05T07:49:35.486095+00:00,VM1
6627067904,14476800000,21103867904,4195100,109,2022-05-05T07:49:50.472065+00:00,VM1
6627059712,14476808192,21103867904,4195100,109,2022-05-05T07:50:05.465297+00:00,VM1
6630967296,14472900608,21103867904,4195100,109,2022-05-05T04:47:50.746431+00:00,VM1
6630959104,14472908800,21103867904,4195100,109,2022-05-05T04:48:05.742747+00:00,VM1
6630983680,14472884224,21103867904,4195100,109,2022-05-05T04:47:20.759006+00:00,VM1
6630975488,14472892416,21103867904,4195100,109,2022-05-05T04:47:35.745668+00:00,VM1
6630991872,14472876032,21103867904,4195100,109,2022-05-05T04:46:50.743867+00:00,VM1
6630983680,14472884224,21103867904,4195100,109,2022-05-05T04:47:05.760145+00:00,VM1
6631000064,14472867840,21103867904,4195100,109,2022-05-05T04:45:50.754171+00:00,VM1
6631000064,14472867840,21103867904,4195100,109,2022-05-05T04:46:05.750532+00:00,VM1
6630860800,14473007104,21103867904,4195100,109,2022-05-05T04:52:50.744442+00:00,VM1
6630860800,14473007104,21103867904,4195100,109,2022-05-05T04:53:05.736434+00:00,VM1
6630877184,14472990720,21103867904,4195100,109,2022-05-05T04:52:20.740221+00:00,VM1
6630868992,14472998912,21103867904,4195100,109,2022-05-05T04:52:35.751022+00:00,VM1
6631008256,14472859648,21103867904,4195100,109,2022-05-05T04:45:20.749364+00:00,VM1
6631008256,14472859648,21103867904,4195100,109,2022-05-05T04:45:35.746280+00:00,VM1
6630893568,14472974336,21103867904,4195100,109,2022-05-05T04:51:20.755049+00:00,VM1
6630885376,14472982528,21103867904,4195100,109,2022-05-05T04:51:35.749334+00:00,VM1
6631024640,14472843264,21103867904,4195100,109,2022-05-05T04:44:50.746648+00:00,VM1
6631008256,14472859648,21103867904,4195100,109,2022-05-05T04:45:05.749578+00:00,VM1
6630909952,14472957952,21103867904,4195100,109,2022-05-05T04:50:20.740796+00:00,VM1
6630901760,14472966144,21103867904,4195100,109,2022-05-05T04:50:35.739501+00:00,VM1
6629844992,14474022912,21103867904,4195100,109,2022-05-05T05:39:50.676409+00:00,VM1
6629828608,14474039296,21103867904,4195100,109,2022-05-05T05:40:05.664100+00:00,VM1
6629812224,14474055680,21103867904,4195100,109,2022-05-05T05:41:50.665743+00:00,VM1
6629804032,14474063872,21103867904,4195100,109,2022-05-05T05:42:05.663683+00:00,VM1
6629885952,14473981952,21103867904,4195100,109,2022-05-05T05:38:50.671520+00:00,VM1
6629885952,14473981952,21103867904,4195100,109,2022-05-05T05:39:05.668623+00:00,VM1
6629885952,14473981952,21103867904,4195100,109,2022-05-05T05:39:20.667662+00:00,VM1
6629877760,14473990144,21103867904,4195100,109,2022-05-05T05:39:35.664684+00:00,VM1
6629820416,14474047488,21103867904,4195100,109,2022-05-05T05:41:20.663088+00:00,VM1
6629812224,14474055680,21103867904,4195100,109,2022-05-05T05:41:35.659342+00:00,VM1
6629894144,14473973760,21103867904,4195100,109,2022-05-05T05:38:20.668119+00:00,VM1
6629885952,14473981952,21103867904,4195100,109,2022-05-05T05:38:35.666699+00:00,VM1
6629804032,14474063872,21103867904,4195100,109,2022-05-05T05:42:20.663485+00:00,VM1
