utctimestamp,in_errors,in_packets,in_bytes,in_dropped,out_errors,out_packets,out_bytes,out_dropped,name
2022-05-05 05:39:24.646315+00:00,0,1474575,71201829,15,0,209490,252233118,0,eth0
2022-05-05 05:39:39.627644+00:00,0,1474588,71202597,15,0,209499,252237251,0,eth0
2022-05-05 05:39:54.634591+00:00,0,1474603,71203492,15,0,209511,252242752,0,eth0
2022-05-05 05:40:09.634456+00:00,0,1474617,71204306,15,0,209521,252246912,0,eth0
2022-05-05 05:40:24.625707+00:00,0,1474632,71205201,15,0,209533,252252406,0,eth0
2022-05-05 05:40:39.651936+00:00,0,1474645,71205969,15,0,209542,252256527,0,eth0
2022-05-05 05:40:54.619658+00:00,0,1474661,71206910,15,0,209555,252262021,0,eth0
2022-05-05 05:41:09.643751+00:00,0,1474674,71207678,15,0,209564,252266167,0,eth0
2022-05-05 05:41:24.630777+00:00,0,1474690,71208625,15,0,209576,252271706,0,eth0
2022-05-05 05:41:39.624022+00:00,0,1474704,71209439,15,0,209586,252275911,0,eth0
2022-05-05 05:41:54.626461+00:00,0,1474719,71210334,15,0,209598,252281396,0,eth0
2022-05-05 05:42:09.636813+00:00,0,1474732,71211102,15,0,209607,252285545,0,eth0
2022-05-05 05:42:24.628875+00:00,0,1474748,71212043,15,0,209620,252291072,0,eth0
2022-05-05 05:42:39.622793+00:00,0,1474761,71212811,15,0,209629,252295253,0,eth0
2022-05-05 05:47:24.644999+00:00,0,1475040,71229711,15,0,209868,252390077,0,eth0
2022-05-05 05:47:39.634318+00:00,0,1475053,71230479,15,0,209878,252394334,0,eth0
2022-05-05 05:47:54.615184+00:00,0,1475069,71231420,15,0,209892,252399936,0,eth0
2022-05-05 05:48:09.620125+00:00,0,1475082,71232188,15,0,209901,252404096,0,eth0
2022-05-05 05:48:24.622492+00:00,0,1475099,71233181,15,0,209914,252409643,0,eth0
2022-05-05 05:48:39.614106+00:00,0,1475112,71233949,15,0,209923,252413769,0,eth0
2022-05-05 05:48:54.634313+00:00,0,1475127,71234844,15,0,209935,252419275,0,eth0
2022-05-05 05:49:09.605628+00:00,0,1475141,71235658,15,0,209945,252423453,0,eth0
2022-05-05 05:49:24.612905+00:00,0,1475156,71236553,15,0,209957,252428951,0,eth0
2022-05-05 05:49:39.603654+00:00,0,1475170,71237367,15,0,209967,252433112,0,eth0
2022-05-05 05:49:54.615163+00:00,0,1475185,71238262,15,0,209979,252438596,0,eth0
2022-05-05 05:50:09.634898+00:00,0,1475199,71239076,15,0,209989,252442808,0,eth0
2022-05-05 05:50:24.633892+00:00,0,1475214,71239971,15,0,210001,252448271,0,eth0
2022-05-05 05:50:39.610189+00:00,0,1475228,71240785,15,0,210011,252452481,0,eth0
2022-05-05 05:50:54.611234+00:00,0,1475244,71241732,15,0,210023,252457998,0,eth0
2022-05-05 05:51:09.610506+00:00,0,1475258,71242546,15,0,210033,252462152,0,eth0
2022-05-05 05:51:24.609297+00:00,0,1475274,71243493,15,0,210045,252467649,0,eth0
2022-05-05 05:51:39.626905+00:00,0,1475288,71244307,15,0,210055,252471814,0,eth0
2022-05-05 05:51:54.617364+00:00,0,1475303,71245202,15,0,210067,252477301,0,eth0
2022-05-05 05:52:09.607457+00:00,0,1475317,71246016,15,0,210077,252481538,0,eth0
2022-05-05 05:52:24.618531+00:00,0,1475332,71246911,15,0,210089,252487029,0,eth0
2022-05-05 05:52:39.612212+00:00,0,1475346,71247725,15,0,210099,252491213,0,eth0
2022-05-05 05:52:54.609673+00:00,0,1475361,71248620,15,0,210111,252496707,0,eth0
2022-05-05 05:53:09.611849+00:00,0,1475375,71249434,15,0,210121,252500932,0,eth0
2022-05-05 05:53:24.604489+00:00,0,1475390,71250329,15,0,210133,252506440,0,eth0
2022-05-05 05:53:39.609856+00:00,0,1475404,71251143,15,0,210143,252510647,0,eth0
2022-05-05 05:53:54.600476+00:00,0,1475419,71252038,15,0,210155,252516150,0,eth0
2022-05-05 05:54:09.608582+00:00,0,1475433,71252852,15,0,210165,252520358,0,eth0
2022-05-05 05:54:24.617165+00:00,0,1475448,71253747,15,0,210177,252525834,0,eth0
2022-05-05 05:54:39.605618+00:00,0,1475462,71254561,15,0,210187,252530005,0,eth0
2022-05-05 05:54:54.606601+00:00,0,1475478,71255508,15,0,210199,252535492,0,eth0
2022-05-05 05:55:09.607452+00:00,0,1475491,71256276,15,0,210208,252539639,0,eth0
2022-05-05 05:55:24.602676+00:00,0,1475507,71257217,15,0,210221,252545157,0,eth0
2022-05-05 05:55:39.619765+00:00,0,1475520,71257985,15,0,210230,252549296,0,eth0
2022-05-05 05:55:54.629520+00:00,0,1475536,71258932,15,0,210242,252554804,0,eth0
2022-05-05 05:56:09.601604+00:00,0,1475550,71259746,15,0,210252,252558994,0,eth0
2022-05-05 05:56:24.606942+00:00,0,1475566,71260693,15,0,210264,252564472,0,eth0
2022-05-05 05:56:39.612614+00:00,0,1475580,71261507,15,0,210274,252568670,0,eth0
2022-05-05 05:56:54.628039+00:00,0,1475595,71262402,15,0,210286,252574165,0,eth0
2022-05-05 05:57:09.626777+00:00,0,1475608,71263170,15,0,210295,252578301,0,eth0
2022-05-05 05:57:24.608652+00:00,0,1475625,71264163,15,0,210308,252583863,0,eth0
2022-05-05 05:57:39.604532+00:00,0,1475638,71264931,15,0,210317,252588007,0,eth0
2022-05-05 05:57:54.600941+00:00,0,1475656,71266336,15,0,210333,252593775,0,eth0
2022-05-05 05:58:09.588666+00:00,0,1475669,71267104,15,0,210344,252598121,0,eth0
2022-05-05 05:58:24.632005+00:00,0,1475684,71267999,15,0,210357,252603663,0,eth0
2022-05-05 05:58:39.607198+00:00,0,1475698,71268813,15,0,210367,252607892,0,eth0
2022-05-05 05:58:54.602142+00:00,0,1475714,71269760,15,0,210379,252613368,0,eth0
2022-05-05 05:59:09.599576+00:00,0,1475727,71270528,15,0,210388,252617548,0,eth0
2022-05-05 05:59:24.597464+00:00,0,1475743,71271469,15,0,210401,252623089,0,eth0
2022-05-05 05:59:39.596171+00:00,0,1475756,71272237,15,0,210410,252627216,0,eth0
2022-05-05 05:59:54.632049+00:00,0,1475771,71273132,15,0,210422,252632685,0,eth0
2022-05-05 06:00:09.596316+00:00,0,1475785,71273946,15,0,210432,252636868,0,eth0
2022-05-05 06:00:24.605090+00:00,0,1475800,71274841,15,0,210444,252642343,0,eth0
2022-05-05 06:00:39.585429+00:00,0,1475813,71275609,15,0,210453,252646466,0,eth0
2022-05-05 06:00:54.584570+00:00,0,1475828,71276504,15,0,210465,252651920,0,eth0
2022-05-05 06:01:09.656137+00:00,0,1475842,71277318,15,0,210475,252656120,0,eth0
2022-05-05 06:01:24.609746+00:00,0,1475858,71278265,15,0,210487,252661627,0,eth0
2022-05-05 06:01:39.593862+00:00,0,1475871,71279033,15,0,210496,252665756,0,eth0
2022-05-05 06:01:54.593854+00:00,0,1475887,71279974,15,0,210509,252671320,0,eth0
2022-05-05 06:02:09.629875+00:00,0,1475900,71280742,15,0,210518,252675454,0,eth0
2022-05-05 06:02:24.592717+00:00,0,1475916,71281689,15,0,210530,252680941,0,eth0
2022-05-05 06:02:39.607485+00:00,0,1475930,71282503,15,0,210540,252685116,0,eth0
2022-05-05 06:02:54.592143+00:00,0,1475946,71283450,15,0,210552,252690610,0,eth0
2022-05-05 06:03:09.592108+00:00,0,1475959,71284218,15,0,210561,252694749,0,eth0
2022-05-05 06:03:24.584853+00:00,0,1475974,71285113,15,0,210573,252700211,0,eth0
2022-05-05 06:03:39.600759+00:00,0,1475988,71285927,15,0,210583,252704417,0,eth0
2022-05-05 06:03:54.610157+00:00,0,1476003,71286822,15,0,210595,252709949,0,eth0
2022-05-05 06:04:09.608181+00:00,0,1476016,71287590,15,0,210604,252714075,0,eth0
2022-05-05 06:04:24.604779+00:00,0,1476033,71288583,15,0,210617,252719624,0,eth0
2022-05-05 06:04:39.603057+00:00,0,1476046,71289351,15,0,210626,252723745,0,eth0
2022-05-05 06:04:54.605153+00:00,0,1476061,71290246,15,0,210638,252729207,0,eth0
2022-05-05 06:05:09.589449+00:00,0,1476075,71291060,15,0,210648,252733371,0,eth0
2022-05-05 06:05:24.602312+00:00,0,1476091,71292007,15,0,210660,252738882,0,eth0
2022-05-05 06:05:39.600746+00:00,0,1476105,71292821,15,0,210670,252743066,0,eth0
2022-05-05 06:05:54.594590+00:00,0,1476121,71293762,15,0,210683,252748584,0,eth0
2022-05-05 06:06:09.589229+00:00,0,1476134,71294530,15,0,210692,252752736,0,eth0
2022-05-05 06:06:24.586952+00:00,0,1476150,71295471,15,0,210705,252758296,0,eth0
2022-05-05 06:06:39.591735+00:00,0,1476163,71296239,15,0,210715,252762504,0,eth0
2022-05-05 06:06:54.601005+00:00,0,1476179,71297180,15,0,210728,252768063,0,eth0
2022-05-05 06:07:09.585329+00:00,0,1476193,71297994,15,0,210738,252772293,0,eth0
2022-05-05 06:07:24.587808+00:00,0,1476209,71298941,15,0,210750,252777782,0,eth0
2022-05-05 06:07:39.584989+00:00,0,1476223,71299755,15,0,210760,252781953,0,eth0
2022-05-05 06:07:54.592162+00:00,0,1476239,71300702,15,0,210772,252787474,0,eth0
2022-05-05 06:08:09.610312+00:00,0,1476253,71301516,15,0,210782,252791655,0,eth0
2022-05-05 06:08:24.583775+00:00,0,1476270,71302509,15,0,210795,252797186,0,eth0
2022-05-05 06:08:39.587166+00:00,0,1476283,71303277,15,0,210804,252801359,0,eth0
2022-05-05 06:08:54.590291+00:00,0,1476299,71304218,15,0,210817,252806902,0,eth0
2022-05-05 06:09:09.572425+00:00,0,1476312,71304986,15,0,210826,252811095,0,eth0
2022-05-05 06:09:24.590863+00:00,0,1476328,71305927,15,0,210839,252816618,0,eth0
2022-05-05 06:09:39.628644+00:00,0,1476343,71306805,15,0,210850,252821004,0,eth0
2022-05-05 06:13:54.577687+00:00,0,1476590,71321384,15,0,211036,252903763,0,eth0
2022-05-05 06:14:09.574929+00:00,0,1476604,71322198,15,0,211046,252907939,0,eth0
2022-05-05 06:14:24.576596+00:00,0,1476620,71323145,15,0,211058,252913496,0,eth0
2022-05-05 06:14:39.582529+00:00,0,1476634,71323959,15,0,211068,252917694,0,eth0
2022-05-05 06:14:54.591085+00:00,0,1476649,71324854,15,0,211080,252923180,0,eth0
2022-05-05 06:15:09.594789+00:00,0,1476662,71325622,15,0,211089,252927343,0,eth0
2022-05-05 06:15:24.578151+00:00,0,1476678,71326563,15,0,211102,252932842,0,eth0
2022-05-05 06:15:39.579274+00:00,0,1476691,71327331,15,0,211111,252936999,0,eth0
2022-05-05 06:15:54.574369+00:00,0,1476706,71328226,15,0,211123,252942486,0,eth0
2022-05-05 06:16:09.599726+00:00,0,1476720,71329040,15,0,211133,252946664,0,eth0
2022-05-05 06:16:24.588235+00:00,0,1476735,71329935,15,0,211145,252952151,0,eth0
2022-05-05 06:16:39.575864+00:00,0,1476749,71330749,15,0,211155,252956331,0,eth0
2022-05-05 06:16:54.570091+00:00,0,1476764,71331644,15,0,211167,252961802,0,eth0
2022-05-05 06:17:09.576107+00:00,0,1476777,71332412,15,0,211176,252965963,0,eth0
