utctimestamp,total_size_free,total_size_used,total_size_total,total_files,count
2022-05-05 05:14:35.708103+00:00,6630418432,14473449472,21103867904,4195100,109
2022-05-05 05:14:50.700893+00:00,6630385664,14473482240,21103867904,4195100,109
2022-05-05 05:15:05.701565+00:00,6630369280,14473498624,21103867904,4195100,109
2022-05-05 05:15:20.701365+00:00,6630369280,14473498624,21103867904,4195100,109
2022-05-05 05:15:35.701239+00:00,6630369280,14473498624,21103867904,4195100,109
2022-05-05 05:20:20.697207+00:00,6630262784,14473605120,21103867904,4195100,109
2022-05-05 05:20:35.694549+00:00,6630262784,14473605120,21103867904,4195100,109
2022-05-05 05:20:50.692493+00:00,6630262784,14473605120,21103867904,4195100,109
2022-05-05 05:21:05.694618+00:00,6630254592,14473613312,21103867904,4195100,109
2022-05-05 05:21:20.698062+00:00,6630254592,14473613312,21103867904,4195100,109
2022-05-05 05:21:35.698460+00:00,6630246400,14473621504,21103867904,4195100,109
2022-05-05 05:21:50.693948+00:00,6630238208,14473629696,21103867904,4195100,109
2022-05-05 05:22:05.704672+00:00,6630238208,14473629696,21103867904,4195100,109
2022-05-05 05:22:20.705705+00:00,6630238208,14473629696,21103867904,4195100,109
2022-05-05 05:22:35.691127+00:00,6630230016,14473637888,21103867904,4195100,109
2022-05-05 05:22:50.717490+00:00,6630221824,14473646080,21103867904,4195100,109
2022-05-05 05:23:05.691244+00:00,6630221824,14473646080,21103867904,4195100,109
2022-05-05 05:23:20.692234+00:00,6630213632,14473654272,21103867904,4195100,109
2022-05-05 05:23:35.698872+00:00,6630213632,14473654272,21103867904,4195100,109
2022-05-05 05:23:50.693687+00:00,6630213632,14473654272,21103867904,4195100,109
2022-05-05 05:24:05.691494+00:00,6630197248,14473670656,21103867904,4195100,109
2022-05-05 05:24:20.698282+00:00,6630197248,14473670656,21103867904,4195100,109
2022-05-05 05:24:35.688289+00:00,6630205440,14473662464,21103867904,4195100,109
2022-05-05 05:24:50.688557+00:00,6630172672,14473695232,21103867904,4195100,109
2022-05-05 05:25:05.687215+00:00,6630156288,14473711616,21103867904,4195100,109
2022-05-05 05:25:20.687388+00:00,6630156288,14473711616,21103867904,4195100,109
2022-05-05 05:25:35.692490+00:00,6630156288,14473711616,21103867904,4195100,109
2022-05-05 05:25:50.686433+00:00,6630156288,14473711616,21103867904,4195100,109
2022-05-05 05:26:05.688533+00:00,6630148096,14473719808,21103867904,4195100,109
2022-05-05 05:26:20.685111+00:00,6630148096,14473719808,21103867904,4195100,109
