,0
254,3.8720453
255,3.8422937
256,3.7416494
257,3.7731793
258,3.684199
259,3.672208
260,3.6059265
261,3.5705442
262,3.4921508
263,3.5048223
264,3.3738341
265,3.3540282
266,3.197196
267,3.1970398
268,3.1121259
269,3.0524817
270,3.0318866
271,2.9914117
272,2.9433043
273,2.927272
274,2.868143
275,2.9122412
276,2.8823059
277,2.8656561
278,2.8657792
279,2.893692
280,28.869316
281,28.887518
282,28.900122
283,28.86857
284,28.871227
285,28.845757
286,28.803583
287,28.791037
288,28.707369
289,28.62138
290,28.564524
291,28.58206
292,28.499052
293,28.434534
294,28.266136
295,28.308784
296,28.251656
297,28.21343
298,28.135347
299,28.08312
300,28.06178
301,28.035217
302,28.0212
303,27.911627
304,27.832098
305,27.850512
306,27.810993
307,27.802319
308,27.762707
309,18.464987
310,18.425993
311,18.493866
312,18.525276
313,18.567785
314,18.618023
315,18.629766
316,18.663229
317,18.693476
318,18.747965
319,18.815676
320,18.851486
321,18.904696
322,18.970398
323,19.029217
324,19.057102
325,19.133503
326,19.1894
327,19.236012
328,19.283615
329,19.314672
330,19.396227
331,19.388811
332,19.500938
333,19.5644
334,19.63266
335,19.725836
336,19.80729
337,19.827429
338,19.892082
339,19.897245
340,19.972816
341,20.057219
342,20.080126
343,20.187681
344,20.194988
345,20.282654
346,20.334637
347,20.455093
348,20.362532
349,20.43642
350,20.579027
351,20.575064
352,20.602093
353,20.690903
354,20.739231
355,20.824524
356,20.902802
357,20.891813
358,20.922213
359,20.96116
360,21.007595
361,21.026756
362,21.068916
363,20.994186
364,21.024424
365,21.051516
366,21.062119
367,21.046888
368,21.044054
369,11.865314
370,11.884013
371,11.855228
372,11.917306
373,11.886709
374,11.946656
375,11.941609
376,12.0050745
377,12.081181
378,12.15958
379,12.201387
380,12.308844
381,12.3629
382,12.554335
383,12.5875
384,12.732364
385,12.952335
386,13.067437
387,13.272348
388,13.540511
389,13.651558
390,14.097196
391,14.243686
392,14.385843
393,14.499589
394,14.631173
395,14.731823
396,14.815185
397,14.909802
398,15.016272
399,15.11235
400,15.232509
401,15.363698
402,15.503928
403,15.565402
404,15.881012
405,15.999047
406,16.274237
407,16.525703
408,16.725595
409,16.814941
410,16.958351
411,17.043062
412,17.128899
413,17.197973
414,17.323788
415,17.404533
416,17.464176
417,17.593754
418,17.712822
419,17.781298
420,17.860355
421,17.938896
422,18.061932
423,18.210432
424,18.229559
425,18.334675
426,18.58465
427,18.713158
428,18.867579
429,19.019024
430,19.360855
431,19.565195
432,19.71947
433,19.925976
434,20.037216
435,20.22767
436,20.268204
437,20.413773
438,20.758827
439,21.188366
440,21.259398
441,21.388905
442,21.515171
443,21.528624
444,21.518995
445,21.613274
446,21.724377
447,21.829988
448,21.787556
449,21.840668
450,21.850855
451,21.895836
452,21.900293
453,21.953339
454,21.96198
455,21.938807
456,21.98329
457,21.96131
458,21.9722
459,13.971012
460,13.983523
461,13.98888
462,13.986479
463,13.963378
464,13.942464
465,13.941014
466,13.890039
467,13.858192
468,13.817978
469,13.732846
470,13.648119
471,13.614223
472,13.54261
473,13.418018
474,13.388604
475,13.358968
476,13.329066
477,13.28692
478,13.18809
479,13.12862
480,13.038293
481,13.005756
482,12.898642
483,12.86624
484,12.767163
485,12.725419
