,utctimestamp
330,2022-05-05 06:26:24.558370+00:00
331,2022-05-05 06:26:39.562281+00:00
332,2022-05-05 06:26:54.555397+00:00
333,2022-05-05 06:27:09.558674+00:00
334,2022-05-05 06:27:24.568976+00:00
335,2022-05-05 06:27:39.556056+00:00
336,2022-05-05 06:27:54.561174+00:00
337,2022-05-05 06:28:09.555788+00:00
338,2022-05-05 06:28:24.556138+00:00
339,2022-05-05 06:28:39.567148+00:00
340,2022-05-05 06:28:54.558141+00:00
341,2022-05-05 06:29:09.551595+00:00
342,2022-05-05 06:29:24.553194+00:00
343,2022-05-05 06:29:39.560098+00:00
344,2022-05-05 06:29:54.551458+00:00
345,2022-05-05 06:30:09.565109+00:00
346,2022-05-05 06:30:24.550221+00:00
347,2022-05-05 06:30:39.560542+00:00
348,2022-05-05 06:30:54.556961+00:00
349,2022-05-05 06:31:09.548330+00:00
350,2022-05-05 06:31:24.556845+00:00
351,2022-05-05 06:31:39.548015+00:00
352,2022-05-05 06:31:54.547242+00:00
353,2022-05-05 06:32:09.558483+00:00
354,2022-05-05 06:32:24.548909+00:00
355,2022-05-05 06:32:39.555020+00:00
356,2022-05-05 06:32:54.561641+00:00
357,2022-05-05 06:33:09.553419+00:00
358,2022-05-05 06:33:24.544342+00:00
359,2022-05-05 06:33:39.544323+00:00
360,2022-05-05 06:33:54.540203+00:00
361,2022-05-05 06:34:09.556880+00:00
362,2022-05-05 06:34:24.561103+00:00
363,2022-05-05 06:34:39.545602+00:00
364,2022-05-05 06:34:54.553022+00:00
365,2022-05-05 06:35:09.546161+00:00
366,2022-05-05 06:35:24.556438+00:00
367,2022-05-05 06:35:39.560955+00:00
368,2022-05-05 06:35:54.543057+00:00
369,2022-05-05 06:39:09.540418+00:00
370,2022-05-05 06:39:24.543313+00:00
371,2022-05-05 06:39:39.581223+00:00
372,2022-05-05 06:39:54.536988+00:00
373,2022-05-05 06:40:09.537304+00:00
374,2022-05-05 06:40:24.542336+00:00
375,2022-05-05 06:40:39.540443+00:00
376,2022-05-05 06:40:54.538772+00:00
377,2022-05-05 06:41:09.545656+00:00
378,2022-05-05 06:41:24.521135+00:00
379,2022-05-05 06:41:39.541260+00:00
380,2022-05-05 06:41:54.532336+00:00
381,2022-05-05 06:42:09.533350+00:00
382,2022-05-05 06:42:24.546481+00:00
383,2022-05-05 06:42:39.535376+00:00
384,2022-05-05 06:42:54.531893+00:00
385,2022-05-05 06:43:09.531005+00:00
386,2022-05-05 06:43:24.530132+00:00
387,2022-05-05 06:43:39.537925+00:00
388,2022-05-05 06:43:54.549139+00:00
389,2022-05-05 06:44:09.531576+00:00
390,2022-05-05 06:44:24.543608+00:00
391,2022-05-05 06:44:39.527880+00:00
392,2022-05-05 06:44:54.529574+00:00
393,2022-05-05 06:45:09.539255+00:00
394,2022-05-05 06:45:24.526437+00:00
395,2022-05-05 06:45:39.537431+00:00
396,2022-05-05 06:45:54.533867+00:00
397,2022-05-05 06:46:09.530770+00:00
398,2022-05-05 06:46:24.549017+00:00
399,2022-05-05 06:46:39.529000+00:00
400,2022-05-05 06:46:54.512940+00:00
401,2022-05-05 06:47:09.525156+00:00
402,2022-05-05 06:47:24.521721+00:00
403,2022-05-05 06:47:39.523364+00:00
404,2022-05-05 06:47:54.568099+00:00
405,2022-05-05 06:48:09.524409+00:00
406,2022-05-05 06:48:24.527064+00:00
407,2022-05-05 06:48:39.532370+00:00
408,2022-05-05 06:48:54.520877+00:00
409,2022-05-05 06:49:09.521339+00:00
410,2022-05-05 06:49:24.531672+00:00
411,2022-05-05 06:49:39.513669+00:00
412,2022-05-05 06:49:54.523540+00:00
413,2022-05-05 06:50:09.520042+00:00
414,2022-05-05 06:50:24.532974+00:00
415,2022-05-05 06:50:39.552869+00:00
416,2022-05-05 06:50:54.519470+00:00
417,2022-05-05 06:51:09.528705+00:00
418,2022-05-05 06:51:24.520484+00:00
419,2022-05-05 06:51:39.516762+00:00
420,2022-05-05 06:51:54.528988+00:00
421,2022-05-05 06:52:09.541726+00:00
422,2022-05-05 06:52:24.524731+00:00
423,2022-05-05 06:52:39.517743+00:00
424,2022-05-05 06:52:54.515917+00:00
425,2022-05-05 06:53:09.515808+00:00
426,2022-05-05 06:53:24.533549+00:00
427,2022-05-05 06:53:39.513145+00:00
428,2022-05-05 06:53:54.513083+00:00
429,2022-05-05 06:54:09.513450+00:00
430,2022-05-05 06:54:24.513056+00:00
431,2022-05-05 06:54:39.537421+00:00
432,2022-05-05 06:54:54.528699+00:00
433,2022-05-05 06:55:09.511272+00:00
434,2022-05-05 06:55:24.510772+00:00
435,2022-05-05 06:55:39.511771+00:00
436,2022-05-05 06:55:54.510329+00:00
437,2022-05-05 06:56:09.542892+00:00
438,2022-05-05 06:56:24.515281+00:00
439,2022-05-05 06:56:39.513785+00:00
440,2022-05-05 06:56:54.511168+00:00
441,2022-05-05 06:57:09.500345+00:00
442,2022-05-05 06:57:24.541763+00:00
443,2022-05-05 06:57:39.565511+00:00
444,2022-05-05 06:57:54.509921+00:00
445,2022-05-05 06:58:09.511611+00:00
446,2022-05-05 06:58:24.510239+00:00
447,2022-05-05 06:58:39.506768+00:00
448,2022-05-05 06:58:54.513958+00:00
449,2022-05-05 06:59:09.511248+00:00
450,2022-05-05 06:59:24.506941+00:00
451,2022-05-05 06:59:39.505459+00:00
452,2022-05-05 06:59:54.504607+00:00
453,2022-05-05 07:00:09.525614+00:00
454,2022-05-05 07:00:24.528372+00:00
455,2022-05-05 07:00:39.508212+00:00
456,2022-05-05 07:00:54.506759+00:00
457,2022-05-05 07:01:09.508421+00:00
458,2022-05-05 07:01:24.504970+00:00
459,2022-05-05 07:06:09.498981+00:00
460,2022-05-05 07:06:24.506784+00:00
461,2022-05-05 07:06:39.506732+00:00
462,2022-05-05 07:06:54.501491+00:00
463,2022-05-05 07:07:09.505745+00:00
464,2022-05-05 07:07:24.493590+00:00
465,2022-05-05 07:07:39.489538+00:00
466,2022-05-05 07:07:54.492864+00:00
467,2022-05-05 07:08:09.493035+00:00
468,2022-05-05 07:08:24.508035+00:00
469,2022-05-05 07:08:39.495328+00:00
470,2022-05-05 07:08:54.492769+00:00
471,2022-05-05 07:09:09.498127+00:00
472,2022-05-05 07:09:24.492398+00:00
473,2022-05-05 07:09:39.494618+00:00
474,2022-05-05 07:09:54.495971+00:00
475,2022-05-05 07:10:09.492623+00:00
476,2022-05-05 07:10:24.492268+00:00
477,2022-05-05 07:10:39.488626+00:00
478,2022-05-05 07:10:54.490902+00:00
479,2022-05-05 07:11:09.500036+00:00
480,2022-05-05 07:11:24.487072+00:00
481,2022-05-05 07:11:39.489934+00:00
482,2022-05-05 07:11:54.511555+00:00
