used_pct,used_bytes,page_stats_pgscan_direct_pages,page_stats_direct_efficiency_pct,page_stats_pgfree_pages,actual_free,actual_used_pct
0.9071,693600256,347424,0.9624,45390658,350371840,0.5418
0.9071,693600256,347424,0.9624,45390744,350371840,0.5418
0.9071,693600256,347424,0.9624,45390831,350380032,0.5417
0.9071,693600256,347424,0.9624,45390917,350380032,0.5417
0.9071,693567488,347424,0.9624,45391005,350420992,0.5417
0.9071,693600256,347424,0.9624,45391109,350388224,0.5417
0.9071,693567488,347424,0.9624,45391190,350437376,0.5417
0.9071,693600256,347424,0.9624,45391275,350404608,0.5417
0.9071,693567488,347424,0.9624,45391361,350445568,0.5417
0.9071,693600256,347424,0.9624,45391446,350416896,0.5417
0.9071,693567488,347424,0.9624,45391531,350457856,0.5416
0.9071,693600256,347424,0.9624,45391616,350425088,0.5417
0.9071,693567488,347424,0.9624,45391702,350466048,0.5416
0.9071,693600256,347424,0.9624,45391787,350441472,0.5417
0.9071,693567488,347424,0.9624,45391904,350486528,0.5416
0.9071,693600256,347424,0.9624,45391988,350453760,0.5416
0.9071,693567488,347424,0.9624,45392075,350494720,0.5416
0.9071,693600256,347424,0.9624,45392159,350466048,0.5416
0.9071,693600256,347424,0.9624,45392245,350474240,0.5416
0.9071,693600256,347424,0.9624,45392331,350474240,0.5416
0.9071,693600256,347424,0.9624,45392419,350498816,0.5416
0.9071,693600256,347424,0.9624,45392505,350502912,0.5416
0.9071,693567488,347424,0.9624,45392592,350535680,0.5415
0.9,688123904,347424,0.9624,45395549,355995648,0.5344
0.8999,688091136,347424,0.9624,45395958,356048896,0.5343
0.8999,688091136,347424,0.9624,45396053,356048896,0.5343
0.8986,687063040,347583,0.9624,45396294,356454400,0.5338
0.8986,687063040,347583,0.9624,45396473,356454400,0.5338
0.8986,687063040,347583,0.9624,45396551,356466688,0.5338
0.8986,687095808,347583,0.9624,45396636,356446208,0.5338
0.8986,687095808,347583,0.9624,45396713,356450304,0.5338
0.8986,687095808,347583,0.9624,45396806,356470784,0.5338
0.8986,687095808,347583,0.9624,45396884,356491264,0.5338
0.8986,687095808,347583,0.9624,45396976,356491264,0.5338
0.8986,687095808,347583,0.9624,45397054,356491264,0.5338
0.8986,687095808,347583,0.9624,45397146,356495360,0.5337
0.8986,687095808,347583,0.9624,45397225,356507648,0.5337
0.8986,687095808,347583,0.9624,45397317,356515840,0.5337
0.8986,687095808,347583,0.9624,45397396,356515840,0.5337
0.8986,687095808,347583,0.9624,45397490,356515840,0.5337
0.8986,687095808,347583,0.9624,45397569,356573184,0.5336
0.8986,687095808,347583,0.9624,45397664,356573184,0.5336
