in_errors,in_packets,in_bytes,in_dropped,out_errors,out_packets,out_bytes,out_dropped,name,utctimestamp,hostname
0,1478746,71448820,15,0,212655,253620257,0,eth0,2022-05-05T06:50:54.519470+00:00,VM1
0,1480250,71537779,15,0,213785,254118629,0,eth0,2022-05-05T07:16:39.539643+00:00,VM1
0,1480267,71538772,15,0,213798,254124187,0,eth0,2022-05-05T07:16:54.486683+00:00,VM1
0,1480134,71530943,15,0,213697,254079836,0,eth0,2022-05-05T07:14:39.481952+00:00,VM1
0,1480150,71531884,15,0,213710,254085400,0,eth0,2022-05-05T07:14:54.481065+00:00,VM1
0,1480163,71532652,15,0,213719,254089563,0,eth0,2022-05-05T07:15:09.502357+00:00,VM1
0,1480179,71533593,15,0,213732,254095122,0,eth0,2022-05-05T07:15:24.499703+00:00,VM1
0,1480192,71534361,15,0,213741,254099297,0,eth0,2022-05-05T07:15:39.487774+00:00,VM1
0,1480208,71535302,15,0,213754,254104821,0,eth0,2022-05-05T07:15:54.480930+00:00,VM1
0,1480221,71536070,15,0,213763,254108972,0,eth0,2022-05-05T07:16:09.473759+00:00,VM1
0,1480237,71537011,15,0,213776,254114469,0,eth0,2022-05-05T07:16:24.482409+00:00,VM1
0,1480309,71541249,15,0,213829,254138005,0,eth0,2022-05-05T07:17:39.477744+00:00,VM1
0,1480325,71542190,15,0,213842,254143544,0,eth0,2022-05-05T07:17:54.496368+00:00,VM1
0,1480338,71542958,15,0,213851,254147666,0,eth0,2022-05-05T07:18:09.510366+00:00,VM1
0,1480354,71543899,15,0,213864,254153183,0,eth0,2022-05-05T07:18:24.482420+00:00,VM1
0,1480280,71539540,15,0,213807,254128366,0,eth0,2022-05-05T07:17:09.472121+00:00,VM1
0,1480296,71540481,15,0,213820,254133849,0,eth0,2022-05-05T07:17:24.481348+00:00,VM1
0,1480367,71544667,15,0,213873,254157319,0,eth0,2022-05-05T07:18:39.479811+00:00,VM1
0,1480383,71545608,15,0,213886,254162858,0,eth0,2022-05-05T07:18:54.480127+00:00,VM1
0,1481944,71637969,15,0,215053,254680297,0,eth0,2022-05-05T07:45:39.469090+00:00,VM1
0,1481959,71638864,15,0,215065,254685786,0,eth0,2022-05-05T07:45:54.436731+00:00,VM1
0,1482061,71644863,15,0,215140,254719124,0,eth0,2022-05-05T07:47:39.439806+00:00,VM1
0,1482077,71645804,15,0,215153,254724686,0,eth0,2022-05-05T07:47:54.444618+00:00,VM1
0,1482003,71641439,15,0,215097,254699700,0,eth0,2022-05-05T07:46:39.437911+00:00,VM1
0,1482018,71642334,15,0,215109,254705182,0,eth0,2022-05-05T07:46:54.442334+00:00,VM1
