utctimestamp,count,total_size_used,total_size_total,total_size_free,total_files,severity
2022-06-16 12:33:55.977757+00:00,110,12773265408,20070475776,7297210368,3740066,INFO
2022-06-16 12:34:10.951921+00:00,110,12773273600,20070475776,7297202176,3740066,INFO
2022-06-16 12:34:25.957073+00:00,110,12773273600,20070475776,7297202176,3740066,INFO
2022-06-16 12:34:40.963644+00:00,110,12773273600,20070475776,7297202176,3740066,INFO
2022-06-16 12:34:55.964080+00:00,110,12773273600,20070475776,7297202176,3740066,INFO
2022-06-16 12:35:10.968967+00:00,110,12773273600,20070475776,7297202176,3740066,INFO
2022-06-16 12:35:25.968599+00:00,110,12773298176,20070475776,7297177600,3740066,INFO
2022-06-16 12:35:40.958799+00:00,110,12773298176,20070475776,7297177600,3740066,INFO
2022-06-16 12:35:55.950102+00:00,110,12773289984,20070475776,7297185792,3740066,INFO
2022-06-16 12:36:10.956737+00:00,110,12773322752,20070475776,7297153024,3740066,INFO
2022-06-16 12:36:25.948501+00:00,110,12773322752,20070475776,7297153024,3740066,INFO
2022-06-16 12:36:40.980609+00:00,110,12773322752,20070475776,7297153024,3740066,INFO
2022-06-16 12:36:55.960339+00:00,110,12773330944,20070475776,7297144832,3740066,INFO
2022-06-16 12:37:10.950918+00:00,110,12773339136,20070475776,7297136640,3740066,INFO
2022-06-16 12:37:25.962165+00:00,110,12773347328,20070475776,7297128448,3740066,INFO
2022-06-16 12:37:40.955667+00:00,110,12773347328,20070475776,7297128448,3740066,INFO
2022-06-16 12:37:55.975487+00:00,110,12773347328,20070475776,7297128448,3740066,INFO
2022-06-16 12:38:10.967999+00:00,110,12773347328,20070475776,7297128448,3740066,INFO
2022-06-16 12:38:25.955814+00:00,110,12773355520,20070475776,7297120256,3740066,INFO
2022-06-16 12:38:40.961571+00:00,110,12773355520,20070475776,7297120256,3740066,INFO
2022-06-16 12:38:55.958368+00:00,110,12773363712,20070475776,7297112064,3740066,INFO
2022-06-16 12:39:10.952767+00:00,110,12773371904,20070475776,7297103872,3740066,INFO
2022-06-16 12:39:25.960701+00:00,110,12773371904,20070475776,7297103872,3740066,INFO
2022-06-16 12:39:40.940995+00:00,110,12773371904,20070475776,7297103872,3740066,INFO
2022-06-16 12:39:55.953624+00:00,110,12773388288,20070475776,7297087488,3740066,INFO
2022-06-16 12:40:10.942266+00:00,110,12773388288,20070475776,7297087488,3740066,INFO
