utctimestamp,in_packets,in_dropped,in_bytes,in_errors,name,out_packets,out_dropped,out_bytes,out_errors,severity
2022-06-16 12:37:28.292425+00:00,1980675,10,154079257,0,eth0,3246195,0,1394442445,0,INFO
2022-06-16 12:37:43.292084+00:00,1980684,10,154079917,0,eth0,3246210,0,1394447680,0,INFO
2022-06-16 12:37:58.292761+00:00,1980692,10,154080502,0,eth0,3246221,0,1394453202,0,INFO
2022-06-16 12:38:13.297608+00:00,1980701,10,154081162,0,eth0,3246236,0,1394458409,0,INFO
2022-06-16 12:38:28.291017+00:00,1980709,10,154081741,0,eth0,3246248,0,1394463893,0,INFO
2022-06-16 12:38:43.298762+00:00,1980717,10,154082355,0,eth0,3246262,0,1394469062,0,INFO
2022-06-16 12:38:58.289642+00:00,1980726,10,154082986,0,eth0,3246274,0,1394474601,0,INFO
2022-06-16 12:39:13.289217+00:00,1980735,10,154083646,0,eth0,3246289,0,1394479803,0,INFO
2022-06-16 12:39:28.295486+00:00,1980742,10,154084179,0,eth0,3246300,0,1394485276,0,INFO
2022-06-16 12:39:43.288175+00:00,1980751,10,154084839,0,eth0,3246315,0,1394490472,0,INFO
2022-06-16 12:39:58.288272+00:00,1980760,10,154085470,0,eth0,3246327,0,1394496021,0,INFO
2022-06-16 12:40:13.287358+00:00,1980768,10,154086084,0,eth0,3246341,0,1394501158,0,INFO
2022-06-16 12:40:28.289649+00:00,1980776,10,154086663,0,eth0,3246353,0,1394506654,0,INFO
2022-06-16 12:40:43.302857+00:00,1980785,10,154087323,0,eth0,3246368,0,1394511855,0,INFO
2022-06-16 12:40:58.285977+00:00,1980792,10,154087856,0,eth0,3246379,0,1394517361,0,INFO
2022-06-16 12:41:13.285588+00:00,1980801,10,154088516,0,eth0,3246394,0,1394522566,0,INFO
2022-06-16 12:41:28.283919+00:00,1980809,10,154089101,0,eth0,3246405,0,1394528061,0,INFO
2022-06-16 12:41:43.283850+00:00,1980818,10,154089761,0,eth0,3246420,0,1394533266,0,INFO
2022-06-16 12:41:58.285041+00:00,1980826,10,154090340,0,eth0,3246432,0,1394538797,0,INFO
2022-06-16 12:42:13.292732+00:00,1980834,10,154090954,0,eth0,3246446,0,1394543947,0,INFO
2022-06-16 12:42:28.282721+00:00,1980843,10,154091585,0,eth0,3246458,0,1394549508,0,INFO
2022-06-16 12:42:43.283699+00:00,1980851,10,154092199,0,eth0,3246472,0,1394554622,0,INFO
2022-06-16 12:42:58.281421+00:00,1980859,10,154092778,0,eth0,3246484,0,1394560187,0,INFO
2022-06-16 12:43:13.282116+00:00,1980868,10,154093438,0,eth0,3246499,0,1394565402,0,INFO
2022-06-16 12:43:28.285921+00:00,1980876,10,154094023,0,eth0,3246510,0,1394570893,0,INFO
2022-06-16 12:43:43.302582+00:00,1980885,10,154094683,0,eth0,3246525,0,1394576123,0,INFO
2022-06-16 12:43:58.279897+00:00,1980892,10,154095216,0,eth0,3246536,0,1394581629,0,INFO
2022-06-16 12:44:13.278772+00:00,1980905,10,154096188,0,eth0,3246553,0,1394587115,0,INFO
2022-06-16 12:44:28.278549+00:00,1980913,10,154096767,0,eth0,3246565,0,1394592646,0,INFO
2022-06-16 12:44:43.278410+00:00,1980921,10,154097381,0,eth0,3246579,0,1394597816,0,INFO
2022-06-16 12:44:58.286504+00:00,1980929,10,154097960,0,eth0,3246591,0,1394603356,0,INFO
2022-06-16 12:45:13.277359+00:00,1980937,10,154098574,0,eth0,3246605,0,1394608554,0,INFO
2022-06-16 12:45:28.280913+00:00,1980954,10,154101062,0,eth0,3246628,0,1394618078,0,INFO
2022-06-16 12:45:43.285378+00:00,1980964,10,154101774,0,eth0,3246644,0,1394623366,0,INFO
2022-06-16 12:45:58.276478+00:00,1980972,10,154102359,0,eth0,3246656,0,1394628927,0,INFO
2022-06-16 12:46:13.293678+00:00,1980982,10,154103071,0,eth0,3246672,0,1394634200,0,INFO
2022-06-16 12:46:28.310969+00:00,1980993,10,154103837,0,eth0,3246684,0,1394639765,0,INFO
2022-06-16 12:46:43.274411+00:00,1981002,10,154104497,0,eth0,3246699,0,1394644981,0,INFO
2022-06-16 12:46:58.274113+00:00,1981009,10,154105030,0,eth0,3246710,0,1394650444,0,INFO
2022-06-16 12:47:13.273004+00:00,1981018,10,154105690,0,eth0,3246725,0,1394655649,0,INFO
2022-06-16 12:47:28.273185+00:00,1981026,10,154106275,0,eth0,3246736,0,1394661145,0,INFO
2022-06-16 12:47:43.286305+00:00,1981034,10,154106889,0,eth0,3246750,0,1394666290,0,INFO
2022-06-16 12:47:58.272040+00:00,1981042,10,154107468,0,eth0,3246762,0,1394671823,0,INFO
2022-06-16 12:48:13.271711+00:00,1981050,10,154108082,0,eth0,3246776,0,1394677004,0,INFO
2022-06-16 12:48:28.270827+00:00,1981059,10,154108713,0,eth0,3246788,0,1394682572,0,INFO
2022-06-16 12:48:43.271238+00:00,1981067,10,154109327,0,eth0,3246802,0,1394687766,0,INFO
2022-06-16 12:48:58.292137+00:00,1981075,10,154109906,0,eth0,3246814,0,1394693313,0,INFO
2022-06-16 12:49:13.270044+00:00,1981083,10,154110520,0,eth0,3246828,0,1394698489,0,INFO
2022-06-16 12:49:28.270347+00:00,1981093,10,154111261,0,eth0,3246840,0,1394704124,0,INFO
2022-06-16 12:49:43.270474+00:00,1981101,10,154111875,0,eth0,3246854,0,1394709274,0,INFO
2022-06-16 12:49:58.267669+00:00,1981109,10,154112454,0,eth0,3246866,0,1394714789,0,INFO
