total,used_pct,used_bytes,actual_free,actual_used_pct,actual_used_bytes,page_stats_pgsteal_direct_pages,page_stats_pgsteal_kswapd_pages,page_stats_direct_efficiency_pct,page_stats_kswapd_efficiency_pct,page_stats_pgfree_pages,page_stats_pgscan_kswapd_pages,page_stats_pgscan_direct_pages,swap_in_pages,swap_readahead_pages,swap_readahead_cached,swap_used_pct,swap_used_bytes,swap_total,swap_free,swap_out_pages,free,hugepages_swap_out_pages,hugepages_swap_out_fallback,hugepages_total,hugepages_used_pct,hugepages_used_bytes,hugepages_default_size,hugepages_free,hugepages_surplus,hugepages_reserved,utctimestamp
1028845568,0.9143,940720128,610947072,0.4062,417898496,125,552583,1,0.8723,18512699,633473,125,0,0,0,0,0,0,0,0,88125440,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:27:32.782935+00:00
1028845568,0.9144,940752896,610934784,0.4062,417910784,125,552583,1,0.8723,18513124,633473,125,0,0,0,0,0,0,0,0,88092672,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:28:48.262771+00:00
1028845568,0.9144,940752896,610934784,0.4062,417910784,125,552583,1,0.8723,18513234,633473,125,0,0,0,0,0,0,0,0,88092672,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:29:02.776636+00:00
1028845568,0.9144,940752896,610910208,0.4062,417935360,125,552583,1,0.8723,18512410,633473,125,0,0,0,0,0,0,0,0,88092672,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:26:48.270929+00:00
1028845568,0.9144,940752896,610910208,0.4062,417935360,125,552583,1,0.8723,18512520,633473,125,0,0,0,0,0,0,0,0,88092672,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:27:02.792484+00:00
1028845568,0.9134,939737088,611893248,0.4053,416952320,125,552583,1,0.8723,18511379,633473,125,0,0,0,0,0,0,0,0,89108480,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:24:48.265738+00:00
1028845568,0.9134,939737088,611917824,0.4052,416927744,125,552583,1,0.8723,18511488,633473,125,0,0,0,0,0,0,0,0,89108480,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:25:02.803154+00:00
1028845568,0.9134,939737088,611917824,0.4052,416927744,125,552583,1,0.8723,18511557,633473,125,0,0,0,0,0,0,0,0,89108480,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:25:18.268171+00:00
1028845568,0.9134,939737088,611921920,0.4052,416923648,125,552583,1,0.8723,18511667,633473,125,0,0,0,0,0,0,0,0,89108480,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:25:32.792766+00:00
1028845568,0.9143,940720128,610947072,0.4062,417898496,125,552583,1,0.8723,18512767,633473,125,0,0,0,0,0,0,0,0,88125440,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:27:48.276263+00:00
1028845568,0.9144,940752896,610926592,0.4062,417918976,125,552583,1,0.8723,18512868,633473,125,0,0,0,0,0,0,0,0,88092672,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:28:02.785539+00:00
1028845568,0.9134,939704320,611954688,0.4052,416890880,125,552583,1,0.8723,18511735,633473,125,0,0,0,0,0,0,0,0,89141248,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:25:48.263307+00:00
1028845568,0.9134,939704320,611958784,0.4052,416886784,125,552583,1,0.8723,18511845,633473,125,0,0,0,0,0,0,0,0,89141248,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:26:02.789755+00:00
1028845568,0.9167,943120384,609738752,0.4074,419106816,125,552583,1,0.8723,18528774,633473,125,0,0,0,0,0,0,0,0,85725184,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:47:32.725485+00:00
1028845568,0.9167,943120384,609746944,0.4073,419098624,125,552583,1,0.8723,18528842,633473,125,0,0,0,0,0,0,0,0,85725184,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:47:48.234086+00:00
